,tabac,gum,year,num
25825,5.0,12.0,2002,12.0
25867,10.0,5.0,2002,52.0
25875,7.0,2.0,2002,4.0
25879,7.0,10.0,2002,11.0
25906,7.0,1.0,2002,11.0
25909,10.0,4.0,2002,2.0
25961,15.0,20.0,2002,24.0
25964,10.0,20.0,2002,27.0
25976,10.0,10.0,2002,7.0
25991,10.0,10.0,2002,2.0
26017,5.0,4.0,2002,4.0
26035,10.0,10.0,2002,9.0
26050,2.0,3.0,2002,9.0
26051,1.0,1.0,2002,1.0
26057,10.0,3.0,2002,7.0
26104,7.0,1.0,2002,53.0
26125,8.0,5.0,2002,9.0
26136,7.0,10.0,2002,1.0
26140,2.0,1.0,2002,12.0
26141,3.0,20.0,2002,51.0
26148,9.0,1.0,2002,10.0
26150,7.0,2.0,2002,3.0
26160,7.0,7.0,2002,1.0
26168,10.0,1.0,2002,6.0
26184,10.0,20.0,2002,52.0
26187,20.0,10.0,2002,7.0
26190,2.0,3.0,2002,11.0
26194,10.0,50.0,2002,4.0
26195,7.0,90.0,2002,5.0
26198,7.0,70.0,2002,8.0
26199,1.0,20.0,2002,9.0
26201,10.0,20.0,2002,11.0
26212,10.0,10.0,2002,7.0
26221,7.0,3.0,2002,2.0
26223,7.0,20.0,2002,7.0
26226,5.0,10.0,2002,5.0
26232,14.0,10.0,2002,11.0
26234,10.0,10.0,2002,53.0
26238,10.0,20.0,2002,4.0
26258,10.0,10.0,2002,2.0
26276,7.0,2.0,2002,51.0
26307,7.0,1.0,2002,1.0
26313,3.0,1.0,2002,51.0
26323,3.0,3.0,2002,51.0
26326,5.0,1.0,2002,3.0
26329,10.0,4.0,2002,13.0
26347,7.0,1.0,2002,12.0
26365,10.0,14.0,2002,53.0
26366,20.0,1.0,2002,54.0
26372,7.0,30.0,2002,5.0
26377,7.0,7.0,2002,10.0
26383,1.0,2.0,2002,55.0
26393,1.0,5.0,2002,10.0
26399,7.0,10.0,2002,4.0
